name,region_id,rating_id
Abu Dhabi,1,5
Albania,2,8
Andorra (Principality of),3,15
Angola,4,10
Argentina,5,18
Armenia,2,13
Aruba,6,15
Australia,7,7
Austria,3,4
Azerbaijan,2,11
Bahamas,6,8
Bahrain,1,9
Bangladesh,8,13
Barbados,6,19
Belarus,2,18
Belgium,3,6
Belize,5,20
Benin,4,8
Bermuda,6,2
Bolivia,5,9
Bosnia and Herzegovina,2,10
Botswana,4,3
Brazil,5,12
Bulgaria,2,14
Burkina Faso,4,19
Cambodia,8,9
Cameroon,4,9
Canada,9,7
Cape Verde,4,10
Cayman Islands,6,6
Chile,5,2
China,8,1
Colombia,5,15
Congo (Democratic Republic of),4,10
Congo (Republic of),4,20
Cook Islands,7,8
Costa Rica,5,9
Côte d'Ivoire,4,13
Croatia,2,15
Cuba,6,18
Curacao,6,15
Cyprus,3,11
Czech Republic,2,6
Denmark,3,7
Dominican Republic,6,13
Ecuador,5,21
Egypt,4,9
El Salvador,5,21
Estonia,2,1
Ethiopia,4,20
Fiji,8,8
Finland,3,4
France,3,5
Gabon,4,19
Georgia,2,12
Germany,3,7
Ghana,4,18
Greece,3,13
Guatemala,5,11
Guernsey (States of),3,7
Honduras,5,8
Hong Kong,8,6
Hungary,2,15
Iceland,3,2
India,8,16
Indonesia,8,15
Iraq,1,19
Ireland,3,1
Isle of Man,3,6
Israel,1,1
Italy,3,16
Jamaica,6,9
Japan,8,1
Jersey (States of),3,7
Jordan,1,8
Kazakhstan,2,15
Kenya,4,9
Korea,8,5
Kuwait,1,1
Kyrgyzstan,2,10
Laos,8,21
Latvia,2,3
Lebanon,1,17
Liechtenstein,3,7
Lithuania,2,2
Luxembourg,3,7
Macao,8,6
Macedonia,2,13
Malaysia,8,3
Maldives,8,19
Mali,4,20
Malta,3,2
Mauritius,4,16
Mexico,5,15
Moldova,2,10
Mongolia,8,10
Montenegro,2,8
Montserrat,6,16
Morocco,4,11
Mozambique,4,20
Namibia,4,8
Netherlands,3,7
New Zealand,7,7
Nicaragua,5,10
Niger,4,10
Nigeria,4,10
Norway,3,7
Oman,1,13
Pakistan,8,19
Panama,5,15
Papua New Guinea,8,9
Paraguay,5,11
Peru,5,14
Philippines,8,15
Poland,2,2
Portugal,3,15
Qatar,1,6
Ras Al Khaimah (Emirate of),1,3
Romania,2,16
Russia,2,19
Rwanda,4,9
Saudi Arabia,1,1
Senegal,4,13
Serbia,2,12
Sharjah,1,11
Singapore,8,7
Slovakia,2,2
Slovenia,2,3
Solomon Islands,8,19
South Africa,4,12
Spain,3,14
Sri Lanka,8,18
St. Maarten,6,12
St. Vincent & the Grenadines,6,10
Suriname,5,21
Swaziland,4,10
Sweden,3,7
Switzerland,3,7
Taiwan,8,6
Tajikistan,2,10
Tanzania,4,9
Thailand,8,14
Togo,4,10
Trinidad and Tobago,6,12
Tunisia,4,19
Turkey,3,10
Turks and Caicos Islands,6,14
Uganda,4,9
Ukraine,2,21
United Arab Emirates,1,5
United Kingdom,3,6
United States,9,7
Uruguay,5,15
Uzbekistan,2,8
Venezuela,5,17
Vietnam,8,12
Zambia,4,18
Algeria,10,22
Brunei,10,22
Gambia,10,22
Guinea,10,22
Guinea-Bissau,10,22
Guyana,10,22
Haiti,10,22
Iran,10,22
"Korea, D.P.R.",10,22
Liberia,10,22
Libya,10,22
Madagascar,10,22
Malawi,10,22
Myanmar,10,22
Sierra Leone,10,22
Somalia,10,22
Sudan,10,22
Syria,10,22
"Yemen, Republic",10,22
Zimbabwe,10,22
